PassengerId,CryoSleep,Age,Transported,CabinNum,Luxuries,EdableLuxuries,Home_Earth,Home_Europa,Home_Mars,CF_A,CF_B,CF_C,CF_D,CF_E,CF_F,CF_G,CF_T,CL_P,CL_S
0001_01,0.0,39.0,False,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,1,0
0002_01,0.0,24.0,True,0.0,702.0,34.0,1,0,0,0,0,0,0,0,1,0,0,0,1
0003_01,0.0,58.0,False,0.0,6807.0,3576.0,0,1,0,1,0,0,0,0,0,0,0,0,1
0003_02,0.0,33.0,False,0.0,3522.0,1654.0,0,1,0,1,0,0,0,0,0,0,0,0,1
0004_01,0.0,16.0,True,1.0,870.0,221.0,1,0,0,0,0,0,0,0,1,0,0,0,1
0005_01,0.0,44.0,True,0.0,291.0,483.0,1,0,0,0,0,0,0,0,1,0,0,1,0
0006_01,0.0,26.0,True,2.0,42.0,1542.0,1,0,0,0,0,0,0,0,1,0,0,0,1
0006_02,1.0,28.0,True,0.0,304.8547912992357,0.0,1,0,0,0,0,0,0,0,0,1,0,0,1
0007_01,0.0,35.0,True,3.0,216.0,802.0,1,0,0,0,0,0,0,0,1,0,0,0,1
0008_01,1.0,14.0,True,1.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,1,0
0008_02,1.0,34.0,True,1.0,0.0,173.72916912197996,0,1,0,0,1,0,0,0,0,0,0,1,0
0008_03,0.0,45.0,True,1.0,273.0,7884.0,0,1,0,0,1,0,0,0,0,0,0,1,0
0009_01,0.0,32.0,True,1.0,186.0,1123.0,0,0,1,0,0,0,0,0,1,0,0,1,0
0010_01,0.0,48.0,False,1.0,743.0,66.0,1,0,0,0,0,0,0,0,0,1,0,0,1
0011_01,0.0,28.0,True,2.0,17.0,986.0,1,0,0,0,0,0,0,0,1,0,0,1,0
0012_01,0.0,31.0,False,600.3676712973864,32.0,876.0,1,0,0,0,0,0,0,0,0,0,0,0,0
0014_01,0.0,27.0,False,3.0,1286.0,295.72916912197996,0,0,1,0,0,0,0,0,1,0,0,1,0
0015_01,0.0,24.0,False,4.0,637.0,1.0,1,0,0,0,0,0,0,0,1,0,0,1,0
0016_01,1.0,45.0,True,5.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0
